input_image,link1,link2,link3,link4,link5,link6,target_color,matching_col1,matching_col2,matching_col3,matching_style1,matching_style2,matching_style3,color1,color2,color3,color4,color5,color6,style1,style2,style3,style4,style5,style6
https://s3.amazonaws.com/nets213-fabrec/hit2_img/CCB.jpg,https://www.amazon.com/LEE-Modern-Extreme-Motion-Straight/dp/B071WZJMRV/ref=sr_1_1?keywords=black+jeans+mens+slim&qid=1556129965&s=gateway&sr=8-1,https://www.amazon.com/LEE-Modern-Extreme-Motion-Straight/dp/B071WZJMRV/ref=sr_1_3?keywords=black+jeans+mens+slim&qid=1556129984&s=gateway&sr=8-3,https://www.amazon.com/Calvin-Klein-Skinny-Jeans-forever/dp/B07D5TM829/ref=sr_1_3?keywords=uniqlo+black+jeans&qid=1556076516&s=gateway&sr=8-3,https://www.amazon.com/Match-Tapered-Stretchy-Casual-Pants/dp/B013HVF2IS/ref=sr_1_9?keywords=black+pants+men&qid=1556076567&s=gateway&sr=8-9,https://www.amazon.com/Leward-Ripped-Distressed-Destroyed-Straight/dp/B01KYUEB0A/ref=sr_1_1_sspa?keywords=red+skinny+jeans+men&qid=1556137439&s=gateway&sr=8-1-spons&psc=1,https://www.amazon.com/ZLZ-Skinny-Stretch-Comfy-Fashion/dp/B075TS5149/ref=sr_1_1?keywords=white+skinny+jeans+men&qid=1556137449&s=gateway&sr=8-1,blue ,white,red,black,peg,skinny,wide leg,black,grey,black,black,red,white,5 pocket,5 pocket,skinny,5 pocket,5 pocket,5 pocket 
,,,,,,,baby pink,white,blue,purple,gypsy,sweatshirts,polo,white,white,white,white,white,maroon,gypsy,blouse,blouse,sweatshirts,sweatshirts,sweatshirts
https://s3.amazonaws.com/nets213-fabrec/hit2_img/Rose.jpg,https://www.amazon.com/Floerns-Womens-Plaid-Waist-Bodycon/dp/B07KFT6D7Y/ref=sr_1_5?keywords=plaid+skirt&qid=1556130316&s=gateway&sr=8-5,https://www.amazon.com/Womens-Ripped-Boyfriend-Stylish-Stretch/dp/B07D9JF6MD/ref=sr_1_4?keywords=womens+jeans&qid=1556130354&s=gateway&sr=8-4,https://www.amazon.com/Womens-Versatile-Stretchy-Flared-Skater/dp/B00SGBQI9M/ref=sr_1_3?keywords=blue+skirt&qid=1556137347&s=gateway&sr=8-3,https://www.amazon.com/Urban-CoCo-Womens-Versatile-Stretchy/dp/B014FA0NB6/ref=sr_1_2_sspa?keywords=black+skirt&qid=1556137376&s=gateway&sr=8-2-spons&psc=1,https://www.amazon.com/Wax-Juniors-Denim-Shorts-Medium/dp/B01BMYTC0G/ref=sr_1_5?keywords=womens+jean+shorts&qid=1556130091&s=gateway&sr=8-5,https://www.amazon.com/Lands-End-Womens-Skinny-Jeans/dp/B07GL5HP5L/ref=sr_1_2_sspa?keywords=women+skinny+jeans&qid=1556130155&s=gateway&sr=8-2-spons&psc=1,white,black,dark blue,blue,peg,skinny,skort,black,baby blue,blue,black,dark blue,dark blue,skort,5 pocket,skort,skort,short,skinny
weizhen,,,,,,,,dark green,pink,blue,turtleneck,sweater,button,white,d,grey,dark green,dark blue,blue,sweatshirt,d,sweater,sweater,cardigan,tshirt
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,