"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.type","Input.input","Input.color1","Input.color2","Input.color3","Input.style1","Input.style2","Input.style3","Answer.item1","Answer.item2","Answer.item3","Approve","Reject"
"3GVPRXWRPH2POY6SF1P5LT5BZ5OI7Z","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3OS46CRSLG7DTO9GM1OYJOQY7156VF","AIROMW6NRYTAT","Submitted","Sun Apr 28 16:07:48 PDT 2019","Sun Apr 28 16:09:27 PDT 2019","Wed May 01 16:09:27 PDT 2019","","","","99","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/CCB.jpg","#FFFFFF","#F11703","#000000","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/FREDD-MARSHALL-Stretch-Straight-Fashion/dp/B01N9AUO66/ref=sr_1_5?keywords=mens+pants+white&qid=1556492913&s=gateway&sr=8-5","https://www.amazon.com/ZLZ-Younger-Looking-Fashionable-Colorful-Stretch/dp/B071D2THPT/ref=sr_1_4?keywords=mens+black+skinny+jeans&qid=1556492936&s=gateway&sr=8-4","https://www.amazon.com/Perruzo-Skinny-Stylish-Stretch-Jeans/dp/B0198Z4IFU/ref=sr_1_3?keywords=mens+red+skinny+jeans&qid=1556492958&s=gateway&sr=8-3"
"3GVPRXWRPH2POY6SF1P5LT5BZ5OI7Z","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3TE3O85731GXIG9YQF7LSEKJ6PH2RQ","A3GTPW3MYSLMR7","Submitted","Sun Apr 28 15:00:29 PDT 2019","Sun Apr 28 15:02:49 PDT 2019","Wed May 01 15:02:49 PDT 2019","","","","140","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/CCB.jpg","#FFFFFF","#F11703","#000000","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/Signature-Levi-Strauss-Gold-Label/dp/B07337GN24/ref=sr_1_4?keywords=mens+jeans&qid=1556488874&s=gateway&sr=8-4","https://www.amazon.com/IZOD-American-Chino-Front-Straight-Fit/dp/B007U1ZVRO/ref=sr_1_3?keywords=black+mens+pants&qid=1556488851&s=gateway&sr=8-3","https://www.amazon.com/Match-Tapered-Stretchy-Casual-Pants/dp/B013HVFC10/ref=sr_1_6?keywords=red+mens+pants&qid=1556488957&s=gateway&sr=8-6"
"3GVPRXWRPH2POY6SF1P5LT5BZ5OI7Z","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3UNH76FOCTDWMLPDESIZFJREFHKYMM","A2YOCVXI933STF","Submitted","Sun Apr 28 15:59:27 PDT 2019","Sun Apr 28 16:04:22 PDT 2019","Wed May 01 16:04:22 PDT 2019","","","","295","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/CCB.jpg","#FFFFFF","#F11703","#000000","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/WT02-Basic-Stretch-Skinny-Chino/dp/B06Y5YPS6R/ref=sr_1_9?keywords=red+wide+leg+pants+men&qid=1556492392&s=gateway&sr=8-9","https://www.amazon.com/Southpole-Stretch-Basic-Twill-Skinny/dp/B07CD2CR5V/ref=sr_1_11?keywords=mens+red+pants&qid=1556492488&s=gateway&sr=8-11","https://www.amazon.com/ZLZ-Stretch-Straight-Fashion-Jeans-Pants/dp/B075TS5149/ref=sr_1_5?keywords=mens+white+pants+skinny&qid=1556492642&s=gateway&sr=8-5"
"3Y7LTZE0YTUDHZ7YSD62VGML3TOZUG","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","34S9DKFK74X243ADQTXZSYGEK7LYND","A2T5FIPRX2OF8S","Submitted","Sun Apr 28 14:52:22 PDT 2019","Sun Apr 28 14:55:02 PDT 2019","Wed May 01 14:55:02 PDT 2019","","","","160","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Rose.jpg","#000000","#223764","#1BA2FF","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skort.JPG","https://www.amazon.com/Vialumi-Womens-Distressed-Destroyed-Slashed/dp/B06XRKZTRP/ref=sr_1_37?keywords=blue+capris+cut+out&qid=1556488395&s=gateway&sr=8-37","https://www.amazon.com/Chartou-Womens-Asymmetric-Tassel-Flared/dp/B0796P43KZ/ref=sr_1_4?keywords=blue+flared+jeans+ladies&qid=1556488438&s=gateway&sr=8-4","https://www.amazon.com/Wax-Womens-Juniors-Stetchy-Shorts/dp/B01GF9R8FE/ref=sr_1_14?keywords=ladies+blue+jean+shorts&qid=1556488475&s=gateway&sr=8-14"
"3Y7LTZE0YTUDHZ7YSD62VGML3TOZUG","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3RWE2M8QWII578ESILMQ06MU8U6N01","A2JRXRT0EBP2IA","Submitted","Sun Apr 28 14:52:53 PDT 2019","Sun Apr 28 15:04:36 PDT 2019","Wed May 01 15:04:36 PDT 2019","","","","703","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Rose.jpg","#000000","#223764","#1BA2FF","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skort.JPG","https://www.amazon.com/Daisy-Del-Sol-Ethnic-Stretch/dp/B076227PW6/ref=sr_1_19?crid=CK5MXPS1BPMH&keywords=bell+bottom+pants+for+women&qid=1556488470&s=gateway&sprefix=bottom+pan%2Caps%2C192&sr=8-19","https://www.amazon.com/dp/B07P56RNWB/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B07P56RNWB&pd_rd_w=qfHT9&pf_rd_p=8a8f3917-7900-4ce8-ad90-adf0d53c0985&pd_rd_wg=U7xQi&pf_rd_r=GSY4H3FBD844W4Z6CPRQ&pd_rd_r=db0f06bd-6a00-11e9-94bd-393e388bbf8d","https://www.amazon.com/Democracy-Womens-Ab-Solution-Jegging/dp/B07DYK9BQC/ref=sr_1_84?crid=JDIQALX61RS2&keywords=skinny%2Bjeans%2Bfor%2Bwomen&qid=1556488953&s=apparel&sprefix=skinny%2Bjeans%2Bfor%2Cfashion%2C203&sr=1-84&th=1"
"3Y7LTZE0YTUDHZ7YSD62VGML3TOZUG","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3WAKVUDHUXOWK9YL0LJLTGOBO4AU75","A2VA947LRP48NK","Submitted","Sun Apr 28 15:25:00 PDT 2019","Sun Apr 28 15:27:33 PDT 2019","Wed May 01 15:27:33 PDT 2019","","","","153","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Rose.jpg","#000000","#223764","#1BA2FF","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skort.JPG","https://www.amazon.com/Levis-Womens-Skinny-Jeans-Story/dp/B077SQZB15/ref=sr_1_5?keywords=levis%2Bjeans%2Bfor%2Bwomen&qid=1556490346&s=gateway&sr=8-5&th=1","https://www.amazon.com/Urban-CoCo-Womens-Versatile-Stretchy/dp/B011K36PTA/ref=sr_1_11?keywords=high+waisted+skirt&qid=1556490396&s=gateway&sr=8-11","https://www.amazon.com/ezShe-Womens-Waisted-Cigarette-Trousers/dp/B07BBM64KZ/ref=sr_1_9?crid=22NGNLTFHCQLD&keywords=black+cigarette+pants+women&qid=1556490434&s=gateway&sprefix=black+cigare%2Caps%2C345&sr=8-9"
"33K3E8REWW3QE706OSHC23OLY2YX81","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3KGTPGBS6YTPY81FU92QXP73DOP2UY","A2VA947LRP48NK","Submitted","Sun Apr 28 15:27:39 PDT 2019","Sun Apr 28 15:30:36 PDT 2019","Wed May 01 15:30:36 PDT 2019","","","","177","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Daniel.jpg","#731D3A","#ABAFB2","#223764","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/LEE-Mens-Modern-Athletic-Midnight/dp/B071CKFFJV/ref=sr_1_5?keywords=mens+grey+jeans&qid=1556490536&refinements=p_89%3ALEE&rnid=2528832011&s=gateway&sr=8-5","https://www.amazon.com/Amazon-Essentials-Straight-Fit-Stretch-Burgundy/dp/B07BJT5RK7/ref=sr_1_17?crid=26R68MBXBW7MP&keywords=mens+burgundy+pants&qid=1556490563&s=gateway&sprefix=mens+bugrunday++pan%2Caps%2C448&sr=8-17","https://www.amazon.com/LEE-Modern-Extreme-Straight-Tapered/dp/B0744SBGVP/ref=sr_1_1_sspa?keywords=mens+jeans+levis&qid=1556490622&s=gateway&sr=8-1-spons&psc=1"
"33K3E8REWW3QE706OSHC23OLY2YX81","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3MHW492WW1LFIRU89HVF8KNKX0AMVT","A10BCFEVK7RGEX","Submitted","Sun Apr 28 14:58:55 PDT 2019","Sun Apr 28 15:00:49 PDT 2019","Wed May 01 15:00:49 PDT 2019","","","","114","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Daniel.jpg","#731D3A","#ABAFB2","#223764","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/Perruzo-Skinny-Stretch-Casual-Burgundy/dp/B0742BBXVG/ref=sr_1_5?keywords=burgundy+mens+skinny+pants&qid=1556488802&s=gateway&sr=8-5","https://www.amazon.com/Kenneth-Cole-REACTION-Heather-Stretch/dp/B00NVPCLTY/ref=sr_1_3?crid=27SOLQ25CVQ14&keywords=mens+navy+dress+pants&qid=1556488820&s=gateway&sprefix=mens+navy+dess%2Caps%2C136&sr=8-3","https://www.amazon.com/Signature-Levi-Strauss-Co-Gargoyle/dp/B06W5NDTZ6/ref=sr_1_3?crid=AN4RNWQAXJTA&keywords=mens+gray+skinny+jeans&qid=1556488839&s=gateway&sprefix=mens+gray+skinny+%2Caps%2C122&sr=8-3"
"33K3E8REWW3QE706OSHC23OLY2YX81","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3OE22WJIGJW6QR30WKSRT756TVLQUK","A38MCQMAUI9DJL","Submitted","Sun Apr 28 18:19:28 PDT 2019","Sun Apr 28 18:34:45 PDT 2019","Wed May 01 18:34:45 PDT 2019","","","","917","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Daniel.jpg","#731D3A","#ABAFB2","#223764","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","$16.99","$10.00","$9.00"
"3N5YJ55YXGBZL1FHJKEH0S3IMCONAB","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3A7Y0R2P2PWHL8TI6ZJ5GDSO9HWJXY","A3I8GWH15V8NNJ","Submitted","Sun Apr 28 16:01:59 PDT 2019","Sun Apr 28 16:09:12 PDT 2019","Wed May 01 16:09:12 PDT 2019","","","","433","0% (0/0)","0% (0/0)","0% (0/0)","dress","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Amelia.png","#FFFFFF","#ABAFB2","#FED5DD","https://s3.amazonaws.com/nets213-fabrec/shoes/t-strap.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mary jane.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mocassin.JPG","https://www.amazon.com/dp/B07C1NDW35/ref=twister_B07C1P9H9K","https://www.amazon.com/dp/B07MGWJK5J/ref=twister_B07MNPMG28","https://www.amazon.com/Ollio-Womens-Ballet-Light-Suede/dp/B01N9XMIF3/ref=sr_1_5?crid=2PNRVUHA6ALXQ&keywords=maroon+ballet+flats&qid=1556492928&s=apparel&sprefix=maroon+ballet%2Cfashion%2C147&sr=1-5"
"3N5YJ55YXGBZL1FHJKEH0S3IMCONAB","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3N1FSUEFL68DKK5GCSVPG40DB2TD4Y","A2YOCVXI933STF","Submitted","Sun Apr 28 15:55:58 PDT 2019","Sun Apr 28 15:59:21 PDT 2019","Wed May 01 15:59:21 PDT 2019","","","","203","0% (0/0)","0% (0/0)","0% (0/0)","dress","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Amelia.png","#FFFFFF","#ABAFB2","#FED5DD","https://s3.amazonaws.com/nets213-fabrec/shoes/t-strap.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mary jane.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mocassin.JPG","https://www.amazon.com/getmorebeauty-Women-White-T-Strappy-Wedding/dp/B01ESVS1UM/ref=sr_1_23?keywords=white+heels&qid=1556492227&s=gateway&sr=8-23","https://www.amazon.com/CINAK-Womens-Comfortable-Walking-Fashion/dp/B07H8JY5SQ/ref=sr_1_1_sspa?keywords=white+mary+janes&qid=1556492303&s=gateway&sr=8-1-spons&psc=1","https://www.amazon.com/Chase-Chloe-Kimmy-51-Womens-T-Strap/dp/B077GJ6MXL/ref=sr_1_14?keywords=white+mary+janes&qid=1556492328&s=gateway&sr=8-14"
"3N5YJ55YXGBZL1FHJKEH0S3IMCONAB","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3OSWBBLG1F54IMTQW3XUDFXB4XQDX5","A10BCFEVK7RGEX","Submitted","Sun Apr 28 14:55:55 PDT 2019","Sun Apr 28 14:58:20 PDT 2019","Wed May 01 14:58:20 PDT 2019","","","","145","0% (0/0)","0% (0/0)","0% (0/0)","dress","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Amelia.png","#FFFFFF","#ABAFB2","#FED5DD","https://s3.amazonaws.com/nets213-fabrec/shoes/t-strap.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mary jane.JPG","https://s3.amazonaws.com/nets213-fabrec/shoes/mocassin.JPG","https://www.amazon.com/DREAM-PAIRS-Womens-Annee-White/dp/B071R2CFT9/ref=sr_1_46?keywords=white+shoes&qid=1556488592&s=gateway&sr=8-46","https://www.amazon.com/206-Collective-Stiletto-Sandal-Low-Leather/dp/B0789V58TS/ref=sxbs_srecs_srch_pb?keywords=white+shoes&pd_rd_i=B0789V58TS&pd_rd_r=68f5bc68-f22e-45a7-b39c-6efa1c131131&pd_rd_w=cHgpq&pd_rd_wg=1xvUE&pf_rd_p=1a81d98d-8cbf-4398-b425-1f388970811e&pf_rd_r=2AP1MVY5ZZ2VV0YW5HS0&qid=1556488624&s=gateway","https://www.amazon.com/MuDan-Womens-Floral-Sandals-White/dp/B07C7F65ZY/ref=sr_1_6?keywords=white+sandals&qid=1556488677&s=gateway&sr=8-6"
"31YWE12TE0KMETVNENP6O3SQNISX7E","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","354P56DE9LBG5W6HBGOLEF6N386S76","A1EGQAMPW9N5FT","Submitted","Sun Apr 28 17:59:45 PDT 2019","Sun Apr 28 18:02:09 PDT 2019","Wed May 01 18:02:09 PDT 2019","","","","144","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Sam.png","#000000","#731D3A","#223764","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/GRACE-KARIN-Trouser-Cropped-Pockets/dp/B077N5R4BQ/ref=sr_1_37?keywords=black+trouser&qid=1556499629&s=gateway&sr=8-37","https://www.amazon.com/Cemi-Ceri-Womens-Flowing-Palazzo/dp/B07H43BTR3/ref=sr_1_13?keywords=wide+leg+trouser+purple&qid=1556499682&s=gateway&sr=8-13","https://www.amazon.com/Rekucci-Womens-Comfort-Stretch-Control/dp/B01HOZR3IK/ref=sr_1_3?keywords=skinny+blue+trouser&qid=1556499713&s=gateway&sr=8-3"
"31YWE12TE0KMETVNENP6O3SQNISX7E","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","369J354OFEIUBRJLX6PCJNNOKL96GG","A2E8U8ZMA246U1","Submitted","Sun Apr 28 15:08:02 PDT 2019","Sun Apr 28 15:10:30 PDT 2019","Wed May 01 15:10:30 PDT 2019","","","","148","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Sam.png","#000000","#731D3A","#223764","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/IZOD-American-Chino-Front-Straight-Fit/dp/B00D6C1VNE/ref=sr_1_3?crid=31FBXEI199DKW&keywords=black+dress+pants+for+men&qid=1556489337&s=gateway&sprefix=black+dress+pants%2Caps%2C169&sr=8-3","https://www.amazon.com/Sebaby-Wrinkle-Resistant-Straight-Classic-Fit-Dress/dp/B07QY9P71H/ref=sr_1_24?crid=3HQPDTGKCTV5Z&keywords=burgandy+dress+pants+for+men&qid=1556489385&s=gateway&sprefix=burgand+dress+pants+for+men%2Caps%2C160&sr=8-24","https://www.amazon.com/Haggar-Gabardine-Hidden-Expandable-Pleated/dp/B001NSEC0W/ref=sr_1_27?keywords=dress+pants+for+men&qid=1556489410&s=gateway&sr=8-27"
"31YWE12TE0KMETVNENP6O3SQNISX7E","3P2WBZVMLAUZNYRDOVGRKZRUPWDZ9R","Fashion recommendation given a piece of clothing","Provide links to 3 complementary clothing items that will go well with the given item.","fashion, website, data collection","$0.05","Sun Apr 28 14:51:26 PDT 2019","3","BatchId:3623690;OriginalHitTemplateId:928390855;","3600","259200","Sun May 05 14:51:26 PDT 2019","","","3JMSRU9HQJ2H632VSJ7WVCIBOYJVED","A10BCFEVK7RGEX","Submitted","Sun Apr 28 15:00:49 PDT 2019","Sun Apr 28 15:02:16 PDT 2019","Wed May 01 15:02:16 PDT 2019","","","","87","0% (0/0)","0% (0/0)","0% (0/0)","top","https://s3.amazonaws.com/nets213-fabrec/hit2_img/Sam.png","#000000","#731D3A","#223764","https://s3.amazonaws.com/nets213-fabrec/pants/pegged.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/skinny.JPG","https://s3.amazonaws.com/nets213-fabrec/pants/wide leg.JPG","https://www.amazon.com/Haggar-Stretch-Superflex-Waist-32Wx30L/dp/B01N9QXWO9/ref=sr_1_4?crid=KOZLXMVY7KEL&keywords=black+mens+dress+pants&qid=1556488870&s=gateway&sprefix=black+mens+dress%2Caps%2C132&sr=8-4","https://www.amazon.com/Goodthreads-Slim-Fit-Washed-Chino-Burgundy/dp/B07BKR871W/ref=sr_1_21?keywords=burgundy+mens+dress+pants&qid=1556488887&s=gateway&sr=8-21","https://www.amazon.com/Wrinkle-Free-Stretch-Comfort-Trousers-Burgundy/dp/B07FTDQ6ML/ref=sr_1_12?keywords=mens+burgundy+pants&qid=1556488922&s=gateway&sr=8-12"